date,region_code,contract_code,contract_name,calls_received,calls_answered,calls_answered_60s,calls_abandoned,calls_triaged,week_ending,pct_answered_60s,pct_abandoned,meets_60s_target
2025-12-05,South East,111AA6,Isle of Wight,245,196,177,211,195,2025-12-07,90.3,51.8,0
2025-12-05,South East,111AG9,Thames Valley,2296,2184,1352,2296,2021,2025-12-07,61.9,51.2,0
2025-12-05,South East,111AH9,Hampshire and Surrey Heath,1979,1888,1176,1979,1762,2025-12-07,62.3,51.2,0
2025-12-05,South East,111AI2,Surrey Heartlands,930,743,414,802,647,2025-12-07,55.7,51.9,0
2025-12-05,South East,111AI9,"Kent, Medway & Sussex",3442,2906,2105,3105,2906,2025-12-07,72.4,51.7,0
2025-12-05,South West,111AI4,Dorset (DHC),926,755,599,778,751,2025-12-07,79.3,50.8,0
2025-12-05,South West,111AI5,"Bristol, North Somerset & South Gloucestershire (BRISDOC)",1114,952,460,996,935,2025-12-07,48.3,51.1,0
2025-12-05,South West,111AL2,Devon (PPG),1203,1002,589,1051,901,2025-12-07,58.8,51.2,0
2025-12-05,South West,111AL3,Cornwall (HUC),502,491,395,502,464,2025-12-07,80.4,50.6,0
2025-12-05,South West,111AL5,Somerset (HUC),534,525,399,534,455,2025-12-07,76.0,50.4,0
2025-12-05,South West,111AL6,"BaNES, Swindon & Wiltshire (Medvivo-PPG)",1100,949,521,1004,875,2025-12-07,54.9,51.4,0
2025-12-05,South West,111AL8,Gloucestershire (Trust/IC24),624,583,524,594,558,2025-12-07,89.9,50.5,0
2025-12-06,East of England,111AC5,Cambridgeshire and Peterborough,1596,1538,1228,1596,1215,2025-12-07,79.8,50.9,0
2025-12-06,East of England,111AC7,Milton Keynes,326,323,271,326,302,2025-12-07,83.9,50.2,0
2025-12-06,East of England,111AG7,Luton and Bedfordshire,1008,962,762,1008,873,2025-12-07,79.2,51.2,0
2025-12-06,East of England,111AG8,Norfolk including Great Yarmouth and Waveney,1685,1412,745,1622,1424,2025-12-07,52.8,53.5,0
2025-12-06,East of England,111AH4,Mid & South Essex,1963,1684,841,1886,1603,2025-12-07,49.9,52.8,0
2025-12-06,East of England,111AH7,North East Essex & Suffolk,1782,1559,773,1641,1379,2025-12-07,49.6,51.3,0
2025-12-06,East of England,111AM1,West Essex & Hertfordshire,2244,2185,1785,2244,1964,2025-12-07,81.7,50.7,0
2025-12-06,London,111AD7,South East London,2177,2058,1388,2130,1868,2025-12-07,67.4,50.9,0
2025-12-06,London,111AH5,North East London,2681,2575,1698,2644,2704,2025-12-07,65.9,50.7,0
2025-12-06,London,111AJ1,North West London,2468,2313,1369,2404,2255,2025-12-07,59.2,51.0,0
2025-12-06,London,111AK9,South West London (PPG),1804,1689,854,1764,1725,2025-12-07,50.6,51.1,0
2025-12-06,London,111AL9,North Central London (LAS),1695,1591,962,1639,1483,2025-12-07,60.5,50.7,0
2025-12-06,Midlands,111AL7,Midlands,15556,15295,12492,15556,14436,2025-12-07,81.7,50.4,0
2025-12-06,North East and Yorkshire,111AA1,North East,4938,4087,2888,4438,3725,2025-12-07,70.7,52.1,0
2025-12-06,North East and Yorkshire,111AI7,Yorkshire and Humber (NECS),9899,8446,4381,9187,7733,2025-12-07,51.9,52.1,0
2025-12-06,North West,111AJ3,North West including Blackpool (ML CSU),9346,7589,1546,9346,7482,2025-12-07,20.4,55.2,0
2025-12-06,South East,111AA6,Isle of Wight,416,317,185,379,315,2025-12-07,58.4,54.5,0
2025-12-06,South East,111AG9,Thames Valley,3493,3001,811,3493,2836,2025-12-07,27.0,53.8,0
2025-12-06,South East,111AH9,Hampshire and Surrey Heath,2985,2608,805,2985,2451,2025-12-07,30.9,53.4,0
2025-12-06,South East,111AI2,Surrey Heartlands,1448,1236,624,1314,1102,2025-12-07,50.5,51.5,0
2025-12-06,South East,111AI9,"Kent, Medway & Sussex",5099,4063,1507,4647,4063,2025-12-07,37.1,53.4,0
2025-12-06,South West,111AI4,Dorset (DHC),1345,1140,912,1167,1150,2025-12-07,80.0,50.6,0
2025-12-06,South West,111AI5,"Bristol, North Somerset & South Gloucestershire (BRISDOC)",1726,1488,641,1564,1424,2025-12-07,43.1,51.2,0
2025-12-06,South West,111AL2,Devon (PPG),2047,1802,994,1872,1620,2025-12-07,55.2,51.0,0
2025-12-06,South West,111AL3,Cornwall (HUC),1018,994,809,1018,875,2025-12-07,81.4,50.6,0
2025-12-06,South West,111AL5,Somerset (HUC),871,832,654,871,709,2025-12-07,78.6,51.1,0
2025-12-06,South West,111AL6,"BaNES, Swindon & Wiltshire (Medvivo-PPG)",1643,1442,721,1524,1365,2025-12-07,50.0,51.4,0
2025-12-06,South West,111AL8,Gloucestershire (Trust/IC24),1026,874,397,987,928,2025-12-07,45.4,53.0,0
2025-12-07,East of England,111AC5,Cambridgeshire and Peterborough,1430,1372,907,1430,1086,2025-12-07,66.1,51.0,0
2025-12-07,East of England,111AC7,Milton Keynes,333,322,195,333,295,2025-12-07,60.6,50.8,0
2025-12-07,East of England,111AG7,Luton and Bedfordshire,952,910,606,952,795,2025-12-07,66.6,51.1,0
2025-12-07,East of England,111AG8,Norfolk including Great Yarmouth and Waveney,1439,1231,445,1388,1238,2025-12-07,36.1,53.0,0
2025-12-07,East of England,111AH4,Mid & South Essex,1872,1572,500,1785,1496,2025-12-07,31.8,53.2,0
2025-12-07,East of England,111AH7,North East Essex & Suffolk,1625,1392,884,1452,1204,2025-12-07,63.5,51.1,0
2025-12-07,East of England,111AM1,West Essex & Hertfordshire,1891,1825,1227,1891,1659,2025-12-07,67.2,50.9,0
2025-12-07,London,111AD7,South East London,1909,1791,1075,1868,1566,2025-12-07,60.0,51.1,0
2025-12-07,London,111AH5,North East London,2522,2365,1385,2478,2330,2025-12-07,58.6,51.2,0
