week_ending,region_code,contract_code,contract_name,calls_received,calls_answered,calls_answered_60s,calls_abandoned,calls_triaged,pct_answered_60s,pct_abandoned,meets_60s_target
2026-03-29,South West,111AL2,Devon (PPG),8947,8355,5571,8639,7465,66.7,50.8,0
2026-03-29,South West,111AL3,Cornwall (HUC),4068,4030,3799,4068,3726,94.3,50.2,0
2026-03-29,South West,111AL5,Somerset (HUC),4043,4007,3757,4043,3340,93.8,50.2,0
2026-03-29,South West,111AL6,"BaNES, Swindon & Wiltshire (Medvivo-PPG)",8051,7536,5008,7842,6512,66.5,51.0,0
2026-03-29,South West,111AL8,Gloucestershire (Trust/IC24),4746,4343,3996,4470,4127,92.0,50.7,0
2026-04-05,East of England,111AC5,Cambridgeshire and Peterborough,0,0,0,0,0,,,0
2026-04-05,East of England,111AC7,Milton Keynes,0,0,0,0,0,,,0
2026-04-05,East of England,111AG7,Luton and Bedfordshire,0,0,0,0,0,,,0
2026-04-05,East of England,111AG8,Norfolk including Great Yarmouth and Waveney,0,0,0,0,0,,,0
2026-04-05,East of England,111AH4,Mid & South Essex,0,0,0,0,0,,,0
2026-04-05,East of England,111AH7,North East Essex & Suffolk,0,0,0,0,0,,,0
2026-04-05,East of England,111AM1,West Essex & Hertfordshire,0,0,0,0,0,,,0
2026-04-05,London,111AD7,South East London,0,0,0,0,0,,,0
2026-04-05,London,111AH5,North East London,0,0,0,0,0,,,0
2026-04-05,London,111AJ1,North West London,0,0,0,0,0,,,0
2026-04-05,London,111AK9,South West London (PPG),0,0,0,0,0,,,0
2026-04-05,London,111AL9,North Central London (LAS),0,0,0,0,0,,,0
2026-04-05,Midlands,111AL7,Midlands,0,0,0,0,0,,,0
2026-04-05,North East and Yorkshire,111AA1,North East,0,0,0,0,0,,,0
2026-04-05,North East and Yorkshire,111AI7,Yorkshire and Humber (NECS),0,0,0,0,0,,,0
2026-04-05,North West,111AJ3,North West including Blackpool (ML CSU),0,0,0,0,0,,,0
2026-04-05,South East,111AA6,Isle of Wight,0,0,0,0,0,,,0
2026-04-05,South East,111AG9,Thames Valley,0,0,0,0,0,,,0
2026-04-05,South East,111AH9,Hampshire and Surrey Heath,0,0,0,0,0,,,0
2026-04-05,South East,111AI2,Surrey Heartlands,0,0,0,0,0,,,0
2026-04-05,South East,111AI9,"Kent, Medway & Sussex",0,0,0,0,0,,,0
2026-04-05,South West,111AI4,Dorset (DHC),0,0,0,0,0,,,0
2026-04-05,South West,111AI5,"Bristol, North Somerset & South Gloucestershire (BRISDOC)",0,0,0,0,0,,,0
2026-04-05,South West,111AL2,Devon (PPG),0,0,0,0,0,,,0
2026-04-05,South West,111AL3,Cornwall (HUC),0,0,0,0,0,,,0
2026-04-05,South West,111AL5,Somerset (HUC),0,0,0,0,0,,,0
2026-04-05,South West,111AL6,"BaNES, Swindon & Wiltshire (Medvivo-PPG)",0,0,0,0,0,,,0
2026-04-05,South West,111AL8,Gloucestershire (Trust/IC24),0,0,0,0,0,,,0
