week_ending,region_code,contract_code,contract_name,calls_received,calls_answered,calls_answered_60s,calls_abandoned,calls_triaged,pct_answered_60s,pct_abandoned,meets_60s_target
2025-12-28,South East,111AA6,Isle of Wight,2207,1870,1112,2159,1901,59.5,53.6,0
2025-12-28,South East,111AG9,Thames Valley,20314,19004,13870,20314,17809,73.0,51.7,0
2025-12-28,South East,111AH9,Hampshire and Surrey Heath,17712,16531,12167,17712,15355,73.6,51.7,0
2025-12-28,South East,111AI2,Surrey Heartlands,7495,7161,6121,7269,6244,85.5,50.4,0
2025-12-28,South East,111AI9,"Kent, Medway & Sussex",28671,23586,12983,26707,23586,55.0,53.1,0
2025-12-28,South West,111AI4,Dorset (DHC),8499,6849,4576,7385,6805,66.8,51.9,0
2025-12-28,South West,111AI5,"Bristol, North Somerset & South Gloucestershire (BRISDOC)",0,0,0,0,0,,,0
2025-12-28,South West,111AL2,Devon (PPG),11649,11058,9469,11209,9867,85.6,50.3,0
2025-12-28,South West,111AL3,Cornwall (HUC),6002,5863,5222,6002,5082,89.1,50.6,0
2025-12-28,South West,111AL5,Somerset (HUC),5086,4952,4390,5086,4147,88.7,50.7,0
2025-12-28,South West,111AL6,"BaNES, Swindon & Wiltshire (Medvivo-PPG)",9355,8872,7610,9097,8375,85.8,50.6,0
2025-12-28,South West,111AL8,Gloucestershire (Trust/IC24),6186,4857,2730,5892,4985,56.2,54.8,0
2026-01-04,East of England,111AC5,Cambridgeshire and Peterborough,8071,7939,7184,8071,6322,90.5,50.4,0
2026-01-04,East of England,111AC7,Milton Keynes,2015,2008,1950,2015,1876,97.1,50.1,1
2026-01-04,East of England,111AG7,Luton and Bedfordshire,5813,5719,5175,5813,5066,90.5,50.4,0
2026-01-04,East of England,111AG8,Norfolk including Great Yarmouth and Waveney,8804,7652,5082,8516,7592,66.4,52.7,0
2026-01-04,East of England,111AH4,Mid & South Essex,9487,8233,5326,9133,7812,64.7,52.6,0
2026-01-04,East of England,111AH7,North East Essex & Suffolk,8816,8413,7152,8510,7499,85.0,50.3,0
2026-01-04,East of England,111AM1,West Essex & Hertfordshire,10483,10337,9272,10483,9821,89.7,50.4,0
2026-01-04,London,111AD7,South East London,11361,11011,9717,11144,9953,88.2,50.3,0
2026-01-04,London,111AH5,North East London,14706,14269,12662,14428,14792,88.7,50.3,0
2026-01-04,London,111AJ1,North West London,12851,12371,10929,12546,12085,88.3,50.4,0
2026-01-04,London,111AK9,South West London (PPG),9163,8942,7803,9024,9296,87.3,50.2,0
2026-01-04,London,111AL9,North Central London (LAS),8427,8068,6962,8182,7413,86.3,50.4,0
2026-01-04,Midlands,111AL7,Midlands,76449,76021,73212,76449,71858,96.3,50.1,1
2026-01-04,North East and Yorkshire,111AA1,North East,23447,20490,18454,21040,19262,90.1,50.7,0
2026-01-04,North East and Yorkshire,111AI7,Yorkshire and Humber (NECS),45983,41238,34513,43530,37839,83.7,51.4,0
2026-01-04,North West,111AJ3,North West including Blackpool (ML CSU),45803,44158,32945,45803,42393,74.6,50.9,0
2026-01-04,South East,111AA6,Isle of Wight,2053,1786,1112,1991,1813,62.3,52.7,0
2026-01-04,South East,111AG9,Thames Valley,18591,17440,11533,18591,16312,66.1,51.6,0
2026-01-04,South East,111AH9,Hampshire and Surrey Heath,16845,15747,10571,16845,14780,67.1,51.7,0
2026-01-04,South East,111AI2,Surrey Heartlands,6563,6264,5404,6351,5610,86.3,50.3,0
2026-01-04,South East,111AI9,"Kent, Medway & Sussex",26563,23107,15098,24581,23107,65.3,51.5,0
2026-01-04,South West,111AI4,Dorset (DHC),7562,6523,5296,6633,6632,81.2,50.4,0
2026-01-04,South West,111AI5,"Bristol, North Somerset & South Gloucestershire (BRISDOC)",7916,7479,5541,7575,7153,74.1,50.3,0
2026-01-04,South West,111AL2,Devon (PPG),10536,9997,8659,10108,8925,86.6,50.3,0
2026-01-04,South West,111AL3,Cornwall (HUC),5066,4988,4528,5066,4455,90.8,50.4,0
2026-01-04,South West,111AL5,Somerset (HUC),4780,4713,4217,4780,3924,89.5,50.4,0
2026-01-04,South West,111AL6,"BaNES, Swindon & Wiltshire (Medvivo-PPG)",9418,8966,7764,9149,7967,86.6,50.5,0
2026-01-04,South West,111AL8,Gloucestershire (Trust/IC24),5248,4560,2840,5079,4629,62.3,52.7,0
2026-01-11,East of England,111AC5,Cambridgeshire and Peterborough,7540,7364,6389,7540,5699,86.8,50.6,0
2026-01-11,East of England,111AC7,Milton Keynes,1822,1802,1686,1822,1702,93.6,50.3,0
2026-01-11,East of England,111AG7,Luton and Bedfordshire,5385,5287,4642,5385,4595,87.8,50.5,0
2026-01-11,East of England,111AG8,Norfolk including Great Yarmouth and Waveney,7644,7050,5487,7356,7089,77.8,51.1,0
2026-01-11,East of England,111AH4,Mid & South Essex,8508,7852,5924,8173,7540,75.4,51.0,0
2026-01-11,East of England,111AH7,North East Essex & Suffolk,7816,7387,6285,7494,6485,85.1,50.4,0
2026-01-11,East of England,111AM1,West Essex & Hertfordshire,9956,9782,8450,9956,9063,86.4,50.4,0
2026-01-11,London,111AD7,South East London,11225,10840,9686,10997,9914,89.4,50.4,0
2026-01-11,London,111AH5,North East London,14413,13934,12458,14129,14350,89.4,50.3,0
2026-01-11,London,111AJ1,North West London,12498,12004,10321,12199,11633,86.0,50.4,0
2026-01-11,London,111AK9,South West London (PPG),10124,9842,8386,9959,9312,85.2,50.3,0
2026-01-11,London,111AL9,North Central London (LAS),8467,8082,7042,8219,7429,87.1,50.4,0
2026-01-11,Midlands,111AL7,Midlands,70127,69537,65221,70127,65965,93.8,50.2,0
2026-01-11,North East and Yorkshire,111AA1,North East,23165,19217,14728,20657,17736,76.6,51.8,0
2026-01-11,North East and Yorkshire,111AI7,Yorkshire and Humber (NECS),43170,37156,26675,40351,34016,71.8,52.1,0
2026-01-11,North West,111AJ3,North West including Blackpool (ML CSU),42634,41359,30919,42634,39363,74.8,50.8,0
2026-01-11,South East,111AA6,Isle of Wight,1924,1575,799,1866,1578,50.7,54.2,0
2026-01-11,South East,111AG9,Thames Valley,17800,15791,6940,17800,14783,43.9,53.0,0
2026-01-11,South East,111AH9,Hampshire and Surrey Heath,16017,14282,6738,16017,13325,47.2,52.9,0
2026-01-11,South East,111AI2,Surrey Heartlands,5870,5593,4698,5675,4954,84.0,50.4,0
2026-01-11,South East,111AI9,"Kent, Medway & Sussex",24397,20841,12085,22445,20841,58.0,51.9,0
2026-01-11,South West,111AI4,Dorset (DHC),7364,6296,5153,6431,6257,81.8,50.5,0
2026-01-11,South West,111AI5,"Bristol, North Somerset & South Gloucestershire (BRISDOC)",7424,7000,5080,7097,6785,72.6,50.3,0
2026-01-11,South West,111AL2,Devon (PPG),9696,9102,7861,9211,8084,86.4,50.3,0
2026-01-11,South West,111AL3,Cornwall (HUC),4401,4294,3702,4401,3841,86.2,50.6,0
2026-01-11,South West,111AL5,Somerset (HUC),4371,4286,3763,4371,3568,87.8,50.5,0
2026-01-11,South West,111AL6,"BaNES, Swindon & Wiltshire (Medvivo-PPG)",8196,7753,6522,7928,7184,84.1,50.6,0
2026-01-11,South West,111AL8,Gloucestershire (Trust/IC24),4725,4368,3271,4585,4565,74.9,51.2,0
2026-01-18,East of England,111AC5,Cambridgeshire and Peterborough,7468,7341,6614,7468,5965,90.1,50.4,0
2026-01-18,East of England,111AC7,Milton Keynes,1721,1718,1687,1721,1605,98.2,50.0,1
2026-01-18,East of England,111AG7,Luton and Bedfordshire,5360,5270,4791,5360,4526,90.9,50.4,0
2026-01-18,East of England,111AG8,Norfolk including Great Yarmouth and Waveney,7545,7022,5548,7282,7147,79.0,50.9,0
2026-01-18,East of England,111AH4,Mid & South Essex,8536,7952,6358,8205,7459,80.0,50.8,0
2026-01-18,East of England,111AH7,North East Essex & Suffolk,7648,7232,6319,7318,6410,87.4,50.3,0
2026-01-18,East of England,111AM1,West Essex & Hertfordshire,9597,9459,8601,9597,8698,90.9,50.4,0
2026-01-18,London,111AD7,South East London,11007,10616,9505,10778,9700,89.5,50.4,0
2026-01-18,London,111AH5,North East London,14512,14066,12641,14230,14253,89.9,50.3,0
2026-01-18,London,111AJ1,North West London,12593,12035,10337,12250,11628,85.9,50.4,0
2026-01-18,London,111AK9,South West London (PPG),8920,8698,7724,8764,9003,88.8,50.2,0
2026-01-18,London,111AL9,North Central London (LAS),8500,8075,6789,8233,7607,84.1,50.5,0
2026-01-18,Midlands,111AL7,Midlands,70324,70091,68631,70324,66372,97.9,50.1,1
2026-01-18,North East and Yorkshire,111AA1,North East,22433,18829,14974,19986,17403,79.5,51.5,0
2026-01-18,North East and Yorkshire,111AI7,Yorkshire and Humber (NECS),44285,34751,27602,37327,31882,79.4,51.8,0
2026-01-18,North West,111AJ3,North West including Blackpool (ML CSU),41199,40045,30535,41199,38112,76.3,50.7,0
2026-01-18,South East,111AA6,Isle of Wight,1860,1588,1016,1793,1621,64.0,53.0,0
2026-01-18,South East,111AG9,Thames Valley,17794,15937,6726,17794,14879,42.2,52.8,0
2026-01-18,South East,111AH9,Hampshire and Surrey Heath,16081,14292,6347,16081,13380,44.4,52.9,0
2026-01-18,South East,111AI2,Surrey Heartlands,5927,5659,4903,5713,5008,86.6,50.2,0
2026-01-18,South East,111AI9,"Kent, Medway & Sussex",24186,20333,11708,22291,20333,57.6,52.3,0
2026-01-18,South West,111AI4,Dorset (DHC),6879,5902,5027,5985,5849,85.2,50.3,0
2026-01-18,South West,111AI5,"Bristol, North Somerset & South Gloucestershire (BRISDOC)",7529,7137,5359,7212,6874,75.1,50.3,0
2026-01-18,South West,111AL2,Devon (PPG),9117,8565,7459,8663,7655,87.1,50.3,0
2026-01-18,South West,111AL3,Cornwall (HUC),3982,3915,3558,3982,3529,90.9,50.4,0
2026-01-18,South West,111AL5,Somerset (HUC),4194,4131,3743,4194,3461,90.6,50.4,0
2026-01-18,South West,111AL6,"BaNES, Swindon & Wiltshire (Medvivo-PPG)",8136,7653,6698,7835,7065,87.5,50.6,0
2026-01-18,South West,111AL8,Gloucestershire (Trust/IC24),4821,4520,3599,4664,4556,79.6,50.8,0
2026-01-25,East of England,111AC5,Cambridgeshire and Peterborough,7153,7054,6443,7153,5750,91.3,50.3,0
2026-01-25,East of England,111AC7,Milton Keynes,1821,1818,1794,1821,1754,98.7,50.0,1
2026-01-25,East of England,111AG7,Luton and Bedfordshire,5552,5463,5008,5552,4682,91.7,50.4,0
2026-01-25,East of England,111AG8,Norfolk including Great Yarmouth and Waveney,7153,6666,5740,6881,6812,86.1,50.8,0
2026-01-25,East of England,111AH4,Mid & South Essex,8104,7562,6447,7769,7241,85.3,50.7,0
2026-01-25,East of England,111AH7,North East Essex & Suffolk,7261,6868,6175,6948,6111,89.9,50.3,0
2026-01-25,East of England,111AM1,West Essex & Hertfordshire,9133,9013,8322,9133,8426,92.3,50.3,0
2026-01-25,London,111AD7,South East London,10624,10246,8685,10391,9370,84.8,50.4,0
2026-01-25,London,111AH5,North East London,14251,13721,11618,13945,14290,84.7,50.4,0
2026-01-25,London,111AJ1,North West London,12706,12194,10242,12380,11698,84.0,50.4,0
2026-01-25,London,111AK9,South West London (PPG),8752,8536,7687,8622,8841,90.1,50.3,0
2026-01-25,London,111AL9,North Central London (LAS),8174,7736,6250,7883,7171,80.8,50.5,0
2026-01-25,Midlands,111AL7,Midlands,69599,69440,68607,69599,66053,98.8,50.1,1
2026-01-25,North East and Yorkshire,111AA1,North East,22618,19538,17352,19993,18137,88.8,50.6,0
2026-01-25,North East and Yorkshire,111AI7,Yorkshire and Humber (NECS),43437,35549,27528,38509,32728,77.4,52.0,0
2026-01-25,North West,111AJ3,North West including Blackpool (ML CSU),41110,39999,31712,41110,38165,79.3,50.7,0
2026-01-25,South East,111AA6,Isle of Wight,1801,1637,1277,1733,1612,78.0,51.4,0
2026-01-25,South East,111AG9,Thames Valley,17688,16040,6972,17688,14952,43.5,52.4,0
2026-01-25,South East,111AH9,Hampshire and Surrey Heath,15608,14266,6687,15608,13345,46.9,52.2,0
2026-01-25,South East,111AI2,Surrey Heartlands,5827,5530,4992,5613,4877,90.3,50.4,0
2026-01-25,South East,111AI9,"Kent, Medway & Sussex",23750,20765,14245,21972,20765,68.6,51.4,0
2026-01-25,South West,111AI4,Dorset (DHC),6809,5823,4848,5911,5817,83.3,50.4,0
2026-01-25,South West,111AI5,"Bristol, North Somerset & South Gloucestershire (BRISDOC)",7108,6747,5367,6810,6544,79.5,50.2,0
2026-01-25,South West,111AL2,Devon (PPG),8899,8414,7679,8463,7496,91.3,50.1,0
2026-01-25,South West,111AL3,Cornwall (HUC),3954,3890,3544,3954,3547,91.1,50.4,0
2026-01-25,South West,111AL5,Somerset (HUC),4025,3969,3627,4025,3361,91.4,50.4,0
2026-01-25,South West,111AL6,"BaNES, Swindon & Wiltshire (Medvivo-PPG)",8007,7565,6876,7709,6910,90.9,50.5,0
2026-01-25,South West,111AL8,Gloucestershire (Trust/IC24),4553,4237,3660,4384,4267,86.4,50.9,0
2026-02-01,East of England,111AC5,Cambridgeshire and Peterborough,6906,6800,6381,6906,5594,93.8,50.4,0
2026-02-01,East of England,111AC7,Milton Keynes,1811,1805,1752,1811,1700,97.1,50.1,1
2026-02-01,East of England,111AG7,Luton and Bedfordshire,5387,5323,4999,5387,4473,93.9,50.3,0
2026-02-01,East of England,111AG8,Norfolk including Great Yarmouth and Waveney,7178,6661,5303,6932,6820,79.6,51.0,0
2026-02-01,East of England,111AH4,Mid & South Essex,8204,7618,6081,7912,7172,79.8,50.9,0
2026-02-01,East of England,111AH7,North East Essex & Suffolk,7155,6756,6383,6794,6035,94.5,50.1,0
2026-02-01,East of England,111AM1,West Essex & Hertfordshire,9453,9363,8840,9453,8727,94.4,50.2,0
2026-02-01,London,111AD7,South East London,10611,10230,8778,10375,9340,85.8,50.4,0
2026-02-01,London,111AH5,North East London,13820,13336,11407,13531,13869,85.5,50.4,0
2026-02-01,London,111AJ1,North West London,12365,11872,10208,12053,11630,86.0,50.4,0
2026-02-01,London,111AK9,South West London (PPG),8571,8363,7764,8421,8735,92.8,50.2,0
2026-02-01,London,111AL9,North Central London (LAS),8033,7610,6139,7763,7087,80.7,50.5,0
2026-02-01,Midlands,111AL7,Midlands,69021,68731,66929,69021,65029,97.4,50.1,1
2026-02-01,North East and Yorkshire,111AA1,North East,23272,19730,15828,20901,18063,80.2,51.4,0
2026-02-01,North East and Yorkshire,111AI7,Yorkshire and Humber (NECS),43110,37140,29206,39872,34114,78.6,51.8,0
2026-02-01,North West,111AJ3,North West including Blackpool (ML CSU),40331,38967,29377,40331,37480,75.4,50.9,0
2026-02-01,South East,111AA6,Isle of Wight,1866,1645,1190,1823,1660,72.3,52.6,0
2026-02-01,South East,111AG9,Thames Valley,16907,15410,6899,16907,14364,44.8,52.3,0
2026-02-01,South East,111AH9,Hampshire and Surrey Heath,15373,13950,6585,15373,13031,47.2,52.4,0
2026-02-01,South East,111AI2,Surrey Heartlands,5913,5642,5331,5694,4955,94.5,50.2,0
2026-02-01,South East,111AI9,"Kent, Medway & Sussex",23325,20064,12584,21516,20064,62.7,51.7,0
2026-02-01,South West,111AI4,Dorset (DHC),6799,5775,4724,5898,5679,81.8,50.5,0
2026-02-01,South West,111AI5,"Bristol, North Somerset & South Gloucestershire (BRISDOC)",7258,6865,5643,6897,6654,82.2,50.1,0
2026-02-01,South West,111AL2,Devon (PPG),8785,8295,7866,8328,7513,94.8,50.1,0
2026-02-01,South West,111AL3,Cornwall (HUC),3966,3906,3687,3966,3599,94.4,50.4,0
2026-02-01,South West,111AL5,Somerset (HUC),3811,3769,3518,3811,3189,93.3,50.3,0
2026-02-01,South West,111AL6,"BaNES, Swindon & Wiltshire (Medvivo-PPG)",7853,7406,6989,7534,6696,94.4,50.4,0
2026-02-01,South West,111AL8,Gloucestershire (Trust/IC24),4395,4050,3175,4223,4141,78.4,51.0,0
2026-02-08,East of England,111AC5,Cambridgeshire and Peterborough,6926,6839,6285,6926,5664,91.9,50.3,0
2026-02-08,East of England,111AC7,Milton Keynes,1840,1835,1784,1840,1735,97.2,50.1,1
2026-02-08,East of England,111AG7,Luton and Bedfordshire,5281,5219,4790,5281,4599,91.8,50.3,0
